#,EMPLOYEE_ID,FIRSTNAME,LASTNAME,EMAIL,GENDER,EMPLOYMENT_STATUS,DEPARTMENT,JOB_TITLE,FINGERPRINT_ID
,1,Gracie,Collier,Osborne.Lowe@yahoo.com,F,Part-time,Registrar,Chief Marketing Officer,1
,2,Alfonso,Bahringer,Valentina21@yahoo.com,F,Part-time,Admin and Facilities,Customer Functionality Supervisor,2
,3,Alisha,Leannon,Charity34@yahoo.com,F,Part-time,Academics SHS,Human Markets Technician,3
,4,Carson,O'Hara,Blanca_Robel29@gmail.com,F,Part-time,Office of Student Experience and Advancement,Product Accountability Orchestrator,4
,5,Moses,Bashirian,Jed55@gmail.com,F,Full-time,Registrar,Investor Branding Executive,5
,6,Bertha,Grady,Kiley_Olson@gmail.com,F,Full-time,Human Resources,Dynamic Solutions Agent,6
,7,Joey,Dach,Harold96@gmail.com,M,Full-time,IT,Legacy Response Specialist,7
,8,Jaida,Bosco,Garfield8@yahoo.com,M,Full-time,Clinic,Customer Directives Orchestrator,8
,9,Johnnie,Purdy,Pearlie_Mante48@gmail.com,M,Part-time,Registrar,Dynamic Markets Coordinator,9
,10,Leatha,Bartoletti,Sheridan.Wolff40@hotmail.com,M,Part-time,Human Resources,Forward Tactics Strategist,10
